isbn,titulo,autores,editora,ano,paginas,idioma,assuntos,capa_url,fonte,data_cadastro
9786555981346,Porco de Raça,Bruno Ribeiro,DARKSIDE ENTRETENIMENTO LTDA ME,2021,192,pt,"Literatura brasileira, horror",,brasilapi,2026-06-17T17:45:07
9788594540973,Seres mágicos e histórias sombrias,,Darkside Books,None,,pt,Coletânea/Miscelânea,,brasilapi,2026-06-17T17:45:07
9786555980134,O Jardim Secreto,"Frances Hodgson Burnett, Débora Isidoro, Jéssica Groke",DARKSIDE ENTRETENIMENTO LTDA ME,None,,pt,"Literatura inglesa (inclui literatura do Canadá), Literatura, inglesa, infantil",,brasilapi,2026-06-17T17:45:08
9788564855526,Harda,Cido Rossi,Livrus,2014,292,pt-BR,Juvenile Fiction,https://books.google.com/books/content?id=T2CDAwAAQBAJ&printsec=frontcover&img=1&zoom=0,googlebooks,2026-06-17T17:19:23
9786555981889,Saboroso cadáver,"Agustina Bazterrica, Ayelén Medail",DARKSIDE ENTRETENIMENTO LTDA ME,2022,192,pt,"Literatura espanhola, ficção-argentina, Literatura, canibalismo, horror",,brasilapi,2026-06-17T17:45:37
9786555980325,O Mágico de Oz: First Edition,"L. Frank Baum, Marcia Heloisa, William Wallace Denslow",DARKSIDE ENTRETENIMENTO LTDA ME,None,,pt,"Literatura infanto-juvenil, Infantojuvenil",,brasilapi,2026-06-17T17:20:01
9786555981742,Ring Shout: grito de liberdade,"P. Djèlí Clark, Bruno Ribeiro",DARKSIDE ENTRETENIMENTO LTDA ME,2022,144,pt,"Racismo, racismo, kkk, organizações, cinema",,brasilapi,2026-06-17T17:20:26
9788594541574,A pequena sereia e o reino das ilusões,Louise O'Neill,Darkside Books,None,,pt,Outras literaturas; literaturas de outros idiomas,,brasilapi,2026-06-17T17:45:37
9786555980998,Coração das trevas,"Joseph Conrad, Paulo Raviere, Braziliano Braza, Carlos da Silva Jr.",DARKSIDE ENTRETENIMENTO LTDA ME,2021,176,pt,"Literatura inglesa (inclui literatura do Canadá), ficção-inglesa, COLONIALISMO, África, Literatura",,brasilapi,2026-06-17T17:45:38
9786555980950,Butcher Boy,"Patrick McCabe, Laura Zúñiga",DARKSIDE ENTRETENIMENTO LTDA ME,2021,208,pt,"Literatura inglesa (inclui literatura do Canadá), Ficção, irlandesa, romance",,brasilapi,2026-06-17T17:20:58
9788594540799,"H.P. Lovecraft: medo clássico, cosmic edition",H.P. Lovecraft,Darkside Books,None,,pt,Literatura americana,,brasilapi,2026-06-17T17:45:38
9786555981407,H.P. Lovecraft - Medo Clássico v. 2,"Howard Phillips Lovecraft, Ramon Mapa, Virgil Finley",DARKSIDE ENTRETENIMENTO LTDA ME,2021,400,pt,"Literatura americana, terror, Literatura, Ficção",,brasilapi,2026-06-17T17:45:39
9788594541697,Medo imortal,"Machado de Assis, Júlia Lopes de Almeida, João do Rio",Darkside Books,None,,pt,Literatura brasileira,,brasilapi,2026-06-17T17:45:39
9786555982268,Mefisto,"Klaus Mann, Claudia Abeling, Ramon Rodrigues, Paulo Raviere",DARKSIDE ENTRETENIMENTO LTDA ME,2022,352,pt,"Literatura alemã (inclui todos os países de língua alemã), Ficção-alemã, nazismo",,brasilapi,2026-06-17T17:21:24
9788546902712,As crônicas de Nárnia,,Editora WMF Martins Fontes,None,0,pt,,,brasilapi,2026-06-17T17:45:40
9788532531025,Harry Potter e o prisioneiro de Azkaban,,Editora Rocco,None,,pt,,,brasilapi,2026-06-17T17:45:40
9788532531544,Harry Potter e o cálice de fogo,,Rocco,None,,pt,,,brasilapi,2026-06-17T17:45:41
9786555322569,Harry Potter e a Ordem da Fênix - Ilustrado,"J.K Rowling, Lia Wyler, Jim Kay, Neil Packer",Rocco,2022,350,pt,"Literatura infanto-juvenil, HP-Ilustrado",,brasilapi,2026-06-17T17:22:19
9788532530271,Harry Potter e a pedra folosofal,"J.K. Rowling, Lia Wyler",Editora Rocco,None,,pt,"Literatura infanto-juvenil, Harry-Potter",https://covers.openlibrary.org/b/isbn/9788532530271-L.jpg,brasilapi,2026-06-17T17:45:42
9788532530554,Harry Potter e a câmara secreta,,Editora Rocco,None,,pt,,https://covers.openlibrary.org/b/id/15158664-L.jpg,brasilapi,2026-06-17T17:45:42
